npy_path,label,label_id
01-01-01-01-01-01-01.npy,Neutral,0
01-01-01-01-01-02-01.npy,Neutral,0
01-01-01-01-02-01-01.npy,Neutral,0
01-01-01-01-02-02-01.npy,Neutral,0
01-01-02-01-01-01-01.npy,Calm,1
01-01-02-01-01-02-01.npy,Calm,1
01-01-02-01-02-01-01.npy,Calm,1
01-01-02-01-02-02-01.npy,Calm,1
01-01-02-02-01-01-01.npy,Calm,1
01-01-02-02-01-02-01.npy,Calm,1
01-01-02-02-02-01-01.npy,Calm,1
01-01-02-02-02-02-01.npy,Calm,1
01-01-03-01-01-01-01.npy,Happy,2
01-01-03-01-01-02-01.npy,Happy,2
01-01-03-01-02-01-01.npy,Happy,2
01-01-03-01-02-02-01.npy,Happy,2
01-01-03-02-01-01-01.npy,Happy,2
01-01-03-02-01-02-01.npy,Happy,2
01-01-03-02-02-01-01.npy,Happy,2
01-01-03-02-02-02-01.npy,Happy,2
01-01-04-01-01-01-01.npy,Sad,3
01-01-04-01-01-02-01.npy,Sad,3
01-01-04-01-02-01-01.npy,Sad,3
01-01-04-01-02-02-01.npy,Sad,3
01-01-04-02-01-01-01.npy,Sad,3
01-01-04-02-01-02-01.npy,Sad,3
01-01-04-02-02-01-01.npy,Sad,3
01-01-04-02-02-02-01.npy,Sad,3
01-01-05-01-01-01-01.npy,Angry,4
01-01-05-01-01-02-01.npy,Angry,4
01-01-05-01-02-01-01.npy,Angry,4
01-01-05-01-02-02-01.npy,Angry,4
01-01-05-02-01-01-01.npy,Angry,4
01-01-05-02-01-02-01.npy,Angry,4
01-01-05-02-02-01-01.npy,Angry,4
01-01-05-02-02-02-01.npy,Angry,4
01-01-06-01-01-01-01.npy,Fearful,5
01-01-06-01-01-02-01.npy,Fearful,5
01-01-06-01-02-01-01.npy,Fearful,5
01-01-06-01-02-02-01.npy,Fearful,5
01-01-06-02-01-01-01.npy,Fearful,5
01-01-06-02-01-02-01.npy,Fearful,5
01-01-06-02-02-01-01.npy,Fearful,5
01-01-06-02-02-02-01.npy,Fearful,5
01-01-07-01-01-01-01.npy,Disgust,6
01-01-07-01-01-02-01.npy,Disgust,6
01-01-07-01-02-01-01.npy,Disgust,6
01-01-07-01-02-02-01.npy,Disgust,6
01-01-07-02-01-01-01.npy,Disgust,6
01-01-07-02-01-02-01.npy,Disgust,6
01-01-07-02-02-01-01.npy,Disgust,6
01-01-07-02-02-02-01.npy,Disgust,6
01-01-08-01-01-01-01.npy,Surprised,7
01-01-08-01-01-02-01.npy,Surprised,7
01-01-08-01-02-01-01.npy,Surprised,7
01-01-08-01-02-02-01.npy,Surprised,7
01-01-08-02-01-01-01.npy,Surprised,7
01-01-08-02-01-02-01.npy,Surprised,7
01-01-08-02-02-01-01.npy,Surprised,7
01-01-08-02-02-02-01.npy,Surprised,7
02-01-01-01-01-01-01.npy,Neutral,0
02-01-01-01-01-02-01.npy,Neutral,0
02-01-01-01-02-01-01.npy,Neutral,0
02-01-01-01-02-02-01.npy,Neutral,0
02-01-02-01-01-01-01.npy,Calm,1
02-01-02-01-01-02-01.npy,Calm,1
02-01-02-01-02-01-01.npy,Calm,1
02-01-02-01-02-02-01.npy,Calm,1
02-01-02-02-01-01-01.npy,Calm,1
02-01-02-02-01-02-01.npy,Calm,1
02-01-02-02-02-01-01.npy,Calm,1
02-01-02-02-02-02-01.npy,Calm,1
02-01-03-01-01-01-01.npy,Happy,2
02-01-03-01-01-02-01.npy,Happy,2
02-01-03-01-02-01-01.npy,Happy,2
02-01-03-01-02-02-01.npy,Happy,2
02-01-03-02-01-01-01.npy,Happy,2
02-01-03-02-01-02-01.npy,Happy,2
02-01-03-02-02-01-01.npy,Happy,2
02-01-03-02-02-02-01.npy,Happy,2
02-01-04-01-01-01-01.npy,Sad,3
02-01-04-01-01-02-01.npy,Sad,3
02-01-04-01-02-01-01.npy,Sad,3
02-01-04-01-02-02-01.npy,Sad,3
02-01-04-02-01-01-01.npy,Sad,3
02-01-04-02-01-02-01.npy,Sad,3
02-01-04-02-02-01-01.npy,Sad,3
02-01-04-02-02-02-01.npy,Sad,3
02-01-05-01-01-01-01.npy,Angry,4
02-01-05-01-01-02-01.npy,Angry,4
02-01-05-01-02-01-01.npy,Angry,4
02-01-05-01-02-02-01.npy,Angry,4
02-01-05-02-01-01-01.npy,Angry,4
02-01-05-02-01-02-01.npy,Angry,4
02-01-05-02-02-01-01.npy,Angry,4
02-01-05-02-02-02-01.npy,Angry,4
02-01-06-01-01-01-01.npy,Fearful,5
02-01-06-01-01-02-01.npy,Fearful,5
02-01-06-01-02-01-01.npy,Fearful,5
02-01-06-01-02-02-01.npy,Fearful,5
02-01-06-02-01-01-01.npy,Fearful,5
02-01-06-02-01-02-01.npy,Fearful,5
02-01-06-02-02-01-01.npy,Fearful,5
02-01-06-02-02-02-01.npy,Fearful,5
02-01-07-01-01-01-01.npy,Disgust,6
02-01-07-01-01-02-01.npy,Disgust,6
02-01-07-01-02-01-01.npy,Disgust,6
02-01-07-01-02-02-01.npy,Disgust,6
02-01-07-02-01-01-01.npy,Disgust,6
02-01-07-02-01-02-01.npy,Disgust,6
02-01-07-02-02-01-01.npy,Disgust,6
02-01-07-02-02-02-01.npy,Disgust,6
02-01-08-01-01-01-01.npy,Surprised,7
02-01-08-01-01-02-01.npy,Surprised,7
02-01-08-01-02-01-01.npy,Surprised,7
02-01-08-01-02-02-01.npy,Surprised,7
02-01-08-02-01-01-01.npy,Surprised,7
02-01-08-02-01-02-01.npy,Surprised,7
02-01-08-02-02-01-01.npy,Surprised,7
02-01-08-02-02-02-01.npy,Surprised,7
